"Qty";"Value";"Device";"Parts";"Description";"DIGIKEY";"VMAX";
"3";"";"5566-4RA";"X1, X2, X3";"Mini FIT connector 4 pol";"WM1352-ND";"";
"2";"";"FUSE1206";"F1, F2";"";"486-1686-1-ND";"";
"2";"0";"R-US_R1206";"R17, R18";"RESISTOR, American symbol";"RMCF1206ZT0R00CT-ND";"";
"4";"0.1u";"CAP1206";"C17, C18, C19, C20";"SMT Capacitor";"399-1249-1-ND";"";
"4";"1.5k";"R-US_R1206";"R10, R12, R14, R15";"RESISTOR, American symbol";"541-1.5KECT-ND";"";
"5";"2.2u";"CAP1206";"C10, C21, C22, C23, C24";"SMT Capacitor";"587-2402-1-ND";"";
"2";"10k";"R-US_R1206";"R9, R13";"RESISTOR, American symbol";"RNCP1206FTD10K0CT-ND";"";
"6";"10k";"RES1206";"R2, R4, R5, R6, R7, R8";"SMT Resistor";"RNCP1206FTD10K0CT-ND";"";
"2";"10u";"CAP1206";"C7, C12";"SMT Capacitor";"445-12883-2-ND";"50";
"2";"20k";"RES1206";"R1, R3";"SMT Resistor";"RMCF1206FT20K0CT-ND";"";
"6";"22m";"CPOL-USEB35D";"C5, C6, C8, C9, C30, C31";"";"565-2880-ND";"";
"4";"22uF";"CAP1206";"C26, C27, C28, C29";"SMT Capacitor";"445-8045-1-ND";"";
"2";"220p";"CAP1206";"C11, C13";"SMT Capacitor";"1276-1166-1-ND";"";
"2";"250uH";"INDUCTOR5721-RC";"L1, L2";"";"M8725-ND";"";
"2";"680p";"CAP1206";"C14, C25";"SMT Capacitor";"399-8209-1-ND";"";
"4";"4700u";"CPOL-USE7.5-18";"C1, C2, C3, C4";"";"495-6089-ND";"";
"1";"BSH201";"BSH201";"Q4";"P-CHANNEL MOS FET";"568-6217-1-ND";"";
"2";"DNP";"CAP1206";"C15, C16";"SMT Capacitor";"";"";
"2";"DNP";"R-US_R1206";"R11, R16";"RESISTOR, American symbol";"";"";
"2";"LT1677";"OPAMP-SO";"IC3, IC4";"Basic Op Amp. Be sure to check actual pinout of your device, and";"LT1677CS8#PBF-ND";"";
"1";"MAX6350SO08";"MAX6350SO08";"IC1";"VOLATAGE REFERENCE";"MAX6350CSA+-ND";"";
"1";"MC78M12BDTG";"MC78M12BDTG";"IC6";"500 mA Positive Voltage Regulators";"MC78M12BDTGOS-ND";"";
"1";"MC79M12CDTG";"MC79M12CDTG";"IC5";"500 mA Negative Voltage Regulators";"MC79M12CDTGOS-ND";"";
"1";"MJH11021TO-247AD-H";"MJH11021TO-247AD-H";"T2";"PNP POWER DARLINGTON TRANSISTOR";"MJH11021GOS-ND";"";
"1";"MJH11022TO-247AD-H";"MJH11022TO-247AD-H";"T1";"NPN POWER DARLINGTON TRANSISTOR";"MJH11022GOS-ND";"";
"1";"MMBT2907AMMBTA56SOT23";"MMBT2907AMMBTA56SOT23";"Q1";"PNP Transistor";"MMBT2907AFSCT-ND";"";
"1";"MMBT5550SOT23";"MMBT5550SOT23";"Q2";"NPN Transistor";"MMBT5550CT-ND";"";
"1";"OP27";"OPAMP-SO";"IC2";"Basic Op Amp. Be sure to check actual pinout of your device, and";"OP27GSZ-REEL7CT-ND";"";
"1";"PMBF170";"PMBF170";"Q3";"N-CHANNEL MOS FET";"MMBT2907AFSCT-ND";"";
"2";"RECTIFIER-TS6P";"RECTIFIER-TS6P";"B1, B2";"Rectifier";"DFB2005-ND";"";
